utc,elapsed_s,volts,speed_kph,odometer_km,soc_pct,energy_kwh,range_mi,dist_since_chg_mi,temp_f,charger_5401_raw,power_kw,cell_avg_v,cell_min_v,cell_max_v,cell_spread_mv,cell_extra_raw,array_2af1,obd_standard,run_time_s,dist_with_mil_km,warmups_since_clear,dist_since_clear_km,module_voltage,regen_field_raw,thermal_energy_raw,thermal_distance_raw,compressor_temp_raw,evse_current_raw,group_v1_raw,group_v2_raw,group_v3_raw,hv_temp_raw,batt_temp_a_raw,batt_temp_b_raw,coolant_1_raw,coolant_2_raw,pack_v,pack_a,nominal_pack_v,hv_power_kw,dmc2_v,wheel_fl_kph,wheel_fr_kph,wheel_rl_kph,wheel_rr_kph,brake_kpa,steering_deg,lateral_g,longitudinal_g,array_2b43,mil_on,dtc_count
2026-09-04T01:03:58.405365Z,0.0,13.1V,0,2266.9,73.443,139.49,244.18,43.0,104.0,00,,3.9478,3.9466,3.9505,3.9,720FB717,777777767776767676767777777777777677767776767777,5.0,2812.0,0.0,10.0,139.0,12.926,00002E,000226,000075,6B,0064,09D1,1391,1391,64,00EA,01A2,0401,01C7,378.85,10.2,352.09,3.86,12.4,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
2026-09-04T01:04:06.815338Z,8.41,13.2V,0,2266.9,73.443,139.48,244.18,43.0,104.0,00,-4.28,3.9478,3.9466,3.9505,3.9,720FB317,777777767776767676767777777777777677767776767777,5.0,2819.0,0.0,10.0,139.0,12.985,00002E,000226,000075,6B,0064,09D7,1391,1396,64,00EA,01A2,0401,01C7,379.19,10.8,352.09,4.1,12.5,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
2026-09-04T01:04:14.172172Z,15.767,13.3V,0,2266.9,73.443,139.47,243.56,43.0,104.0,00,-4.57,3.9478,3.9466,3.9505,3.9,710FB317,777777767776767676767777777777777677767776767777,5.0,2826.0,0.0,10.0,139.0,13.032,00002E,000230,000077,6B,0064,09D1,1396,1396,64,00EA,01A2,0401,01C7,379.01,10.8,352.09,4.09,12.6,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
2026-09-04T01:04:21.377196Z,22.972,13.2V,0,2266.9,73.443,139.47,243.56,43.0,104.0,00,-3.13,3.9478,3.9465,3.9505,4.0,760FB317,777777767776767676767777777777777677767776767777,5.0,2835.0,0.0,10.0,139.0,13.125,00002E,000230,000077,6B,0064,09D1,139A,139A,64,00EA,01A2,0401,01C7,379.22,10.2,352.09,3.87,12.6,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
2026-09-04T01:04:29.457657Z,31.053,13.4V,0,2266.9,73.443,139.46,243.56,43.0,104.0,00,-3.48,3.9477,3.9465,3.9504,3.9,710FB317,777777767776767676767777777777777677767776767777,5.0,2842.0,0.0,10.0,139.0,13.178,00002E,000230,000077,6B,0064,09D1,1396,1396,64,00EA,01A2,0401,01C7,379.19,10.5,352.09,3.98,12.7,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
2026-09-04T01:04:36.421342Z,38.016,13.4V,0,2266.9,73.443,139.45,243.56,43.0,104.0,00,-3.79,3.9476,3.9465,3.9504,3.9,720FB317,777777767776767676767777777777777677767776767777,5.0,2850.0,0.0,10.0,139.0,13.258,00002E,000230,000077,6B,0064,09D1,1396,1396,64,00EA,01A2,0401,01C4,379.19,10.5,352.09,3.98,12.8,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
2026-09-04T01:04:44.705943Z,46.301,13.5V,0,2266.9,73.443,139.44,243.56,43.0,104.0,00,-3.89,3.9476,3.9465,3.9503,3.8,710FB317,777777767776767676767777777777777677767776767777,5.0,2857.0,0.0,10.0,139.0,13.331,00002E,000230,000077,6B,0064,09D1,1396,1396,64,00F2,01A2,0401,01C6,379.01,10.5,352.09,3.98,12.8,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
2026-09-04T01:04:52.078309Z,53.673,13.6V,0,2266.9,73.443,139.43,243.56,43.0,104.0,00,-4.02,3.9476,3.9463,3.9503,4.0,730FB717,777777767776767676767777777777777677767776767777,5.0,2864.0,0.0,10.0,139.0,13.371,00002E,000230,000077,6B,0064,09D1,1396,1396,64,00F2,01A2,0401,01C6,379.04,10.8,352.09,4.09,12.9,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
2026-09-04T01:04:58.565377Z,60.16,13.6V,0,2266.9,73.443,139.42,243.56,43.0,105.8,00,-4.17,3.9475,3.9463,3.9503,4.0,730FB717,777777767776767676777777777777777677767776767777,5.0,2871.0,0.0,10.0,139.0,13.371,00002E,000230,000077,6B,0064,09D1,139A,139A,64,00F2,01A2,0401,01C6,379.04,10.8,352.09,4.09,12.9,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
2026-09-04T01:05:06.293774Z,67.889,13.6V,0,2266.9,73.443,139.41,243.56,43.0,105.8,00,-4.24,3.9475,3.9463,3.9502,3.9,710FB317,777777767776767676777777777777777677767776767777,5.0,2877.0,0.0,10.0,139.0,13.376,00002E,000230,000077,6B,0064,09D1,139A,139A,64,00F2,01A2,0401,01C7,378.85,10.2,352.09,3.86,12.9,0,0,0,0,0,31.81,0.0,-0.01274,B6B5B6B6B6B6B6B6B6B6B6B6B6B6B7B7B7B7B7B7B7B7B7B7B8B7,0,0
